Symbol,Close (USD),Close (CNY),Close (EUR),Close (INR),Close (PHP)
MMM,157.7825012,1058.720583,134.115126,11666.43814,7630.361758
ABT,160.6389313,1077.887229,136.5430916,11877.64258,7768.498718
ABBV,161.1183472,1081.10411,136.9505951,11913.09059,7791.683271
ABMD,162.276886,1088.877905,137.9353531,11998.75295,7847.710207
ACN,165.163269,1108.245535,140.3887787,12212.17211,7987.295689
ATVI,163.8249512,1099.265423,139.2512085,12113.21689,7922.57464
ADBE,163.3455505,1096.048644,138.8437179,12077.77,7899.390822
AMD,163.2456665,1095.378422,138.7588165,12070.38458,7894.560432
AAP,161.3180847,1082.444348,137.120372,11927.85918,7801.342576
AES,159.7100983,1071.65476,135.7535836,11808.96467,7723.580354
AFL,162.9660187,1093.501985,138.5211159,12049.70742,7881.036664
A,165.2231903,1108.647607,140.4397118,12216.60269,7990.193483
APD,168.3392944,1129.556665,143.0884002,12447.00743,8140.888277
AKAM,165.1133423,1107.910527,140.346341,12208.48053,7984.881234
ALK,163.4554138,1096.785827,138.9371017,12085.8933,7904.703811
ALB,162.7862549,1092.29577,138.3683167,12036.41569,7872.343287
ARE,163.3455505,1096.048644,138.8437179,12077.77,7899.390822
ALXN,159.7900085,1072.190957,135.8215072,11814.87323,7727.444811
ALGN,159.6900024,1071.519916,135.736502,11807.47878,7722.608516
ALLE,161.1799927,1081.517751,137.0029938,11917.64866,7794.664447
LNT,162.3800049,1089.569833,138.0230042,12006.37756,7852.697037
