,amount,base_currency_code,base_currency_name,rates
AED,1.0000,EUR,Euro,"{'currency_name': 'UAE Dirham', 'rate': '4.3469', 'rate_for_amount': '4.3469'}"
AFN,1.0000,EUR,Euro,"{'currency_name': 'Afghani', 'rate': '91.3730', 'rate_for_amount': '91.3730'}"
ALL,1.0000,EUR,Euro,"{'currency_name': 'Lek', 'rate': '124.1247', 'rate_for_amount': '124.1247'}"
AMD,1.0000,EUR,Euro,"{'currency_name': 'Armenian Dram', 'rate': '584.5809', 'rate_for_amount': '584.5809'}"
ANG,1.0000,EUR,Euro,"{'currency_name': 'Netherlands Antillean Guilder', 'rate': '2.1156', 'rate_for_amount': '2.1156'}"
AOA,1.0000,EUR,Euro,"{'currency_name': 'Kwanza', 'rate': '778.4514', 'rate_for_amount': '778.4514'}"
ARS,1.0000,EUR,Euro,"{'currency_name': 'Argentine Peso', 'rate': '92.3741', 'rate_for_amount': '92.3741'}"
AUD,1.0000,EUR,Euro,"{'currency_name': 'Australian Dollar', 'rate': '1.6567', 'rate_for_amount': '1.6567'}"
AWG,1.0000,EUR,Euro,"{'currency_name': 'Aruban Florin', 'rate': '2.1156', 'rate_for_amount': '2.1156'}"
AZN,1.0000,EUR,Euro,"{'currency_name': 'Azerbaijan Manat', 'rate': '2.0188', 'rate_for_amount': '2.0188'}"
BAM,1.0000,EUR,Euro,"{'currency_name': 'Convertible Mark', 'rate': '1.9558', 'rate_for_amount': '1.9558'}"
BBD,1.0000,EUR,Euro,"{'currency_name': 'Barbados Dollar', 'rate': '2.3638', 'rate_for_amount': '2.3638'}"
BDT,1.0000,EUR,Euro,"{'currency_name': 'Taka', 'rate': '100.7649', 'rate_for_amount': '100.7649'}"
BGN,1.0000,EUR,Euro,"{'currency_name': 'Bulgarian Lev', 'rate': '1.9558', 'rate_for_amount': '1.9558'}"
BHD,1.0000,EUR,Euro,"{'currency_name': 'Bahraini Dinar', 'rate': '0.4444', 'rate_for_amount': '0.4444'}"
BIF,1.0000,EUR,Euro,"{'currency_name': 'Burundi Franc', 'rate': '2298.7304', 'rate_for_amount': '2298.7304'}"
BMD,1.0000,EUR,Euro,"{'currency_name': 'Bermudian Dollar', 'rate': '1.1819', 'rate_for_amount': '1.1819'}"
BND,1.0000,EUR,Euro,"{'currency_name': 'Brunei Dollar', 'rate': '1.6095', 'rate_for_amount': '1.6095'}"
BOB,1.0000,EUR,Euro,"{'currency_name': 'Boliviano', 'rate': '8.2236', 'rate_for_amount': '8.2236'}"
BRL,1.0000,EUR,Euro,"{'currency_name': 'Brazilian Real', 'rate': '6.6470', 'rate_for_amount': '6.6470'}"
BSD,1.0000,EUR,Euro,"{'currency_name': 'Bahamian Dollar', 'rate': '1.1819', 'rate_for_amount': '1.1819'}"
BTN,1.0000,EUR,Euro,"{'currency_name': 'Ngultrum', 'rate': '87.5485', 'rate_for_amount': '87.5485'}"
BWP,1.0000,EUR,Euro,"{'currency_name': 'Pula', 'rate': '13.5483', 'rate_for_amount': '13.5483'}"
BYN,1.0000,EUR,Euro,"{'currency_name': 'Belarusian Ruble', 'rate': '3.0200', 'rate_for_amount': '3.0200'}"
BZD,1.0000,EUR,Euro,"{'currency_name': 'Belize Dollar', 'rate': '2.3638', 'rate_for_amount': '2.3638'}"
CAD,1.0000,EUR,Euro,"{'currency_name': 'Canadian Dollar', 'rate': '1.5588', 'rate_for_amount': '1.5588'}"
CDF,1.0000,EUR,Euro,"{'currency_name': 'Congolese Franc', 'rate': '2333.7720', 'rate_for_amount': '2333.7720'}"
CHF,1.0000,EUR,Euro,"{'currency_name': 'Swiss Franc', 'rate': '1.0747', 'rate_for_amount': '1.0747'}"
CLP,1.0000,EUR,Euro,"{'currency_name': 'Chilean Peso', 'rate': '916.1906', 'rate_for_amount': '916.1906'}"
CNY,1.0000,EUR,Euro,"{'currency_name': 'Yuan Renminbi', 'rate': '7.9288', 'rate_for_amount': '7.9288'}"
COP,1.0000,EUR,Euro,"{'currency_name': 'Colombian Peso', 'rate': '4542.8916', 'rate_for_amount': '4542.8916'}"
CRC,1.0000,EUR,Euro,"{'currency_name': 'Costa Rican Colon', 'rate': '716.4036', 'rate_for_amount': '716.4036'}"
CUC,1.0000,EUR,Euro,"{'currency_name': 'Peso Convertible', 'rate': '1.1819', 'rate_for_amount': '1.1819'}"
CUP,1.0000,EUR,Euro,"{'currency_name': 'Cuban Peso', 'rate': '1.1866', 'rate_for_amount': '1.1866'}"
CVE,1.0000,EUR,Euro,"{'currency_name': 'Cabo Verde Escudo', 'rate': '110.6619', 'rate_for_amount': '110.6619'}"
