id,Symbol,Close (USD),Date
1,MMM,157.7825012,10/22/2020
2,ABT,160.6389313,10/22/2020
3,ABBV,161.1183472,10/22/2020
4,ABMD,162.276886,10/22/2020
5,ACN,165.163269,10/22/2020
6,ATVI,163.8249512,10/22/2020
7,ADBE,163.3455505,10/22/2020
8,AMD,163.2456665,10/22/2020
9,AAP,161.3180847,10/22/2020
10,AES,159.7100983,10/22/2020
11,AFL,162.9660187,10/22/2020
12,A,165.2231903,10/22/2020
13,APD,168.3392944,10/22/2020
14,AKAM,165.1133423,10/22/2020
15,ALK,163.4554138,10/22/2020
16,ALB,162.7862549,10/22/2020
17,ARE,163.3455505,10/22/2020
18,ALXN,159.7900085,10/22/2020
19,ALGN,159.6900024,10/22/2020
20,ALLE,161.1799927,10/22/2020
21,LNT,162.3800049,10/22/2020
